物品名称,原大类,原中类,原小类,新大类,新子类,原容器,原位置
牙刷,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙刷更换头,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙线,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
牙膏,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
呼吸贴,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
奶嘴,IV. 化成品与消耗品,个人护理与健康品,口腔/牙齿类,🧼 个人护理,身体洗护,,
发胶,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
发膜,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
染发剂,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
米诺地尔,IV. 化成品与消耗品,个人护理与健康品,发部护理,🧼 个人护理,身体洗护,,
耳塞,IV. 化成品与消耗品,个人护理与健康品,耳部护理,🧼 个人护理,身体洗护,,
眼药水,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🏥 健康医疗,药品/急救,,
蒸汽眼罩,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🧼 个人护理,身体洗护,,
眼罩,IV. 化成品与消耗品,个人护理与健康品,眼部护理,🧼 个人护理,身体洗护,,
祛疤贴,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
止汗剂,IV. 化成品与消耗品,个人护理与健康品,鼻子护理,🧼 个人护理,身体洗护,,
